StartDate,EndDate,Status,Duplicate?,IP Address Check,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,Q1_1,Q2,Q3,Q4,Q5,Q16,Q7,Q23,Q8,Q30,Q31,Q35,Q23,Q24,Q25,Q26,total_no_tip,total_tip,mTurkCode
2017-03-13 10:09:28,2017-03-13 10:10:09,Survey Preview,,,,100,40,True,2017-03-13 10:10:10,R_2wdaot6FVwiFnV5,,,,,37.769104003906,-122.4449005127,preview,,Family,Main course,Non-alcoholic beverages,23,One of our 20 draft craft beers,"Pizza with nettles, red onions, and ricotta: $18",5,Neither reasonable nor unreasonable,,,,,,,,,,10
2017-03-14 18:45:16,2017-03-14 18:47:31,Survey Preview,,,,100,134,True,2017-03-14 18:47:31,R_33wIutZ09jRmi3Z,,,,,40.720901489258,-74.046798706055,preview,6,"Friends,Spouse / significant other","Appetizer,Main course","Beer or cider,Cocktails / mixed drinks",40,,,,,One of our 20 draft craft beers,"Roasted pork loin with sweet potato purée, snap peas, and hazelnut-sage sauce: $26",Extremely reasonable,,,,,,,39
2017-03-19 13:22:00,2017-03-19 13:22:47,IP Address,,1,131.243.223.226,100,46,True,2017-03-19 13:22:47,R_1ikAKNdVhYSNb1j,,,,,37.867202758789,-122.25680541992,anonymous,26,"Friends,Spouse / significant other,Colleagues",Main course,"Wine,Beer or cider",60,One of our 5 national brand beers,"Pizza with nettles, red onions, and ricotta: $18",5,Neither reasonable nor unreasonable,,,,,,,,,,84
2017-03-19 13:24:32,2017-03-19 13:26:32,IP Address,,1,82.13.77.160,100,120,True,2017-03-19 13:26:33,R_OIrbWMBVwBQ7mxj,,,,,52.199996948242,0.11669921875,anonymous,3,Spouse / significant other,"Appetizer,Main course,Dessert","Water,Wine",100,Bottled water,"Roasted pork loin with sweet potato purée, snap peas, and hazelnut-sage sauce: $20",3,Neither reasonable nor unreasonable,,,,,,,,,,64
2017-03-19 14:25:07,2017-03-19 14:27:33,IP Address,,1,136.33.99.125,100,145,True,2017-03-19 14:27:34,R_1GZaNwHqRji5iJR,,,,,39.21159362793,-94.57389831543,anonymous,6,Spouse / significant other,Main course,Non-alcoholic beverages,25,Bottled water,"Roasted pork loin with sweet potato purée, snap peas, and hazelnut-sage sauce: $20",4,Neither reasonable nor unreasonable,,,,,,,,0,25.6,2
2017-03-19 16:20:53,2017-03-19 16:23:38,IP Address,,1,107.77.212.194,100,164,True,2017-03-19 16:23:38,R_UMCATFaHrBbj0iZ,,,,,38.116500854492,-122.20909881592,anonymous,11,"Friends,I eat alone","Appetizer,Main course","Water,Cocktails / mixed drinks",30,Signature cocktail,"Roasted pork loin with sweet potato purée, snap peas, and hazelnut-sage sauce: $20",6,Somewhat reasonable,,,,,,,,0,40.56,86
2017-03-19 16:58:17,2017-03-19 17:01:19,IP Address,,1,73.93.153.50,100,181,True,2017-03-19 17:01:19,R_1rHYpBj77Y2YB2H,,,,,37.425003051758,-121.94599914551,anonymous,2,"Friends,Family","Appetizer,Main course,Dessert","Non-alcoholic beverages,Wine,Cocktails / mixed drinks",30,Signature cocktail,"Pan-fried fish and shellfish cakes with wild arugula, artichokes, and aïoli: $25",7.41,Somewhat reasonable,,,,,,,,0,47.37,53
2017-03-19 21:52:57,2017-03-19 21:57:00,IP Address,,1,24.16.16.184,100,243,True,2017-03-19 21:57:01,R_80xx7GQ3uKj5hrX,,,,,47.720504760742,-122.20669555664,anonymous,1,Spouse / significant other,Main course,Non-alcoholic beverages,23,,,,,Bottled water,"Roasted pork loin with sweet potato purée, snap peas, and hazelnut-sage sauce: $26",Neither reasonable nor unreasonable,,,,,26,0,31
2017-03-20 13:51:53,2017-03-20 13:55:21,IP Address,,1,98.114.240.222,100,207,True,2017-03-20 13:55:21,R_3huAvEwt24KqhWx,,,,,40.149200439453,-75.12850189209,anonymous,9,"Friends,Spouse / significant other","Appetizer,Main course",Non-alcoholic beverages,44,Bottled water,Egg and spinach fettuccine with wild mushroom ragù and Parmesan: $16,5,Extremely reasonable,,,,,,,,0,22.28,44
2017-03-20 17:53:43,2017-03-20 17:54:14,Survey Preview,,0,,100,31,True,2017-03-20 17:54:15,R_6EUQps8yJPXfKLv,,,,,41.582901000977,-75.325202941895,preview,9,Family,"Appetizer,Main course,Dessert","Wine,Beer or cider,Cocktails / mixed drinks",50,,,,,One of our 5 national brand beers,"Pan-fried fish and shellfish cakes with wild arugula, artichokes, and aïoli: $33",Extremely reasonable,,,,,40,0,46
2017-03-20 17:55:36,2017-03-20 17:56:05,Survey Preview,,0,,100,29,True,2017-03-20 17:56:06,R_rl4nB6GffXGwbzH,,,,,41.582901000977,-75.325202941895,preview,14,Friends,Dessert,Beer or cider,15,One of our 5 national brand beers,Duck leg braised in the wood oven with Belgian endive and carrot relish: $24,6,Somewhat unreasonable,,,,,,,,0,38.4,0
2017-03-20 17:55:49,2017-03-20 17:59:49,IP Address,,1,69.140.21.146,100,239,True,2017-03-20 17:59:50,R_1is5EhQ1Ad3HOyb,,,,,39.307495117188,-76.637802124023,anonymous,2,Friends,"Appetizer,Main course","Beer or cider,Cocktails / mixed drinks",30,One of our 20 draft craft beers,Egg and spinach fettuccine with wild mushroom ragù and Parmesan: $16,5,Somewhat reasonable,,,,,,,,0,30.92,77
2017-03-22 04:31:43,2017-03-22 04:33:53,IP Address,,1,107.77.204.83,100,129,True,2017-03-22 04:33:53,R_2RWXmlUUAQI9hFp,,,,,38.880996704102,-77.104301452637,anonymous,6,Spouse / significant other,"Main course,Dessert",Wine,60,,,,,Red or white wine (from the wine list),Egg and spinach fettuccine with wild mushroom ragù and Parmesan: $21,Somewhat reasonable,,,,,33,0,69
2017-03-30 11:54:24,2017-03-30 11:55:05,IP Address,,1,85.247.0.84,100,40,True,2017-03-30 11:55:06,R_1ZaQi8omltXLclP,,,,,32.63330078125,-16.899993896484,anonymous,4,Spouse / significant other,"Appetizer,Main course",Wine,45,,,,,Red or white wine (from the wine list),"Roasted pork loin with sweet potato purée, snap peas, and hazelnut-sage sauce: $26",Extremely reasonable,,,,,38,0,55
2017-03-30 11:54:30,2017-03-30 11:55:15,IP Address,,1,24.32.208.26,100,44,True,2017-03-30 11:55:15,R_WB48SiBZNFiAxG1,,,,,33.16259765625,-96.9375,anonymous,4,"Friends,Spouse / significant other,Family",Main course,Water,10,,,,,Bottled water,Egg and spinach fettuccine with wild mushroom ragù and Parmesan: $21,Somewhat unreasonable,,,,,21,0,36
2017-03-30 11:54:15,2017-03-30 11:55:15,IP Address,,1,157.51.99.30,100,59,True,2017-03-30 11:55:15,R_3JcQwGIshsL29zj,,,,,20,77,anonymous,19,Friends,Appetizer,"Water,Beer or cider",20,,,,,One of our 20 draft craft beers,Duck leg braised in the wood oven with Belgian endive and carrot relish: $31,Somewhat reasonable,,,,,40,0,82
2017-03-30 11:54:13,2017-03-30 11:55:15,IP Address,,1,216.15.59.152,100,61,True,2017-03-30 11:55:15,R_3Op0zsZA4OG7Vuw,,,,,38.914398193359,-77.076301574707,anonymous,15,Spouse / significant other,Main course,"Water,Non-alcoholic beverages",15,Signature cocktail,"Pizza with nettles, red onions, and ricotta: $18",6,Extremely unreasonable,,,,,,,,0,38.4,74
2017-03-30 11:54:26,2017-03-30 11:55:17,IP Address,,1,4.15.246.7,100,51,True,2017-03-30 11:55:20,R_2QJO6bEqS0t1bsb,,,,,34.011505126953,-117.85350036621,anonymous,4,Family,Main course,"Water,Beer or cider",20,One of our 20 draft craft beers,"Roasted pork loin with sweet potato purée, snap peas, and hazelnut-sage sauce: $20",1.5,Somewhat reasonable,,,,,,,,0,31.74,47
2017-03-30 11:54:22,2017-03-30 11:55:28,IP Address,,1,157.51.82.82,100,65,True,2017-03-30 11:55:29,R_08RnbRFG1rbKL61,,,,,20,77,anonymous,14,Colleagues,Appetizer,Beer or cider,20,Red or white wine (from the wine list),"Pan-fried fish and shellfish cakes with wild arugula, artichokes, and aïoli: $25",2,Extremely reasonable,,,,,,,,0,40.88,49
2017-03-30 11:55:02,2017-03-30 11:55:57,IP Address,,1,47.36.229.204,100,54,True,2017-03-30 11:55:57,R_1ZgucWKaVKVrewx,,,,,34.606506347656,-87.007797241211,anonymous,10,"Spouse / significant other,Family",Main course,"Water,Non-alcoholic beverages",10,,,,,Bottled water,"Roasted pork loin with sweet potato purée, snap peas, and hazelnut-sage sauce: $26",Somewhat reasonable,,,,,26,0,84
2017-03-30 11:54:14,2017-03-30 11:55:58,IP Address,,1,1.23.249.181,100,104,True,2017-03-30 11:55:59,R_8AKDLkfGMT97QFr,,,,,18.975006103516,72.825805664062,anonymous,4,"Friends,Spouse / significant other,Colleagues,Family","Appetizer,Main course,Dessert","Non-alcoholic beverages,Cocktails / mixed drinks",50,Signature cocktail,Duck leg braised in the wood oven with Belgian endive and carrot relish: $24,1.48,Extremely reasonable,,,,,,,,0,40.36,31
2017-03-30 11:54:34,2017-03-30 11:55:58,IP Address,,1,36.73.136.243,100,84,True,2017-03-30 11:55:59,R_REVFC0r7zhVlP69,,,,,-6.9931945800781,110.42028808594,anonymous,17,"Friends,I eat alone","Appetizer,Main course,Dessert","Water,Non-alcoholic beverages,Beer or cider",14,Red or white wine (from the wine list),"Pizza with nettles, red onions, and ricotta: $18",3,Somewhat reasonable,,,,,,,,0,34.32,54
2017-03-30 11:54:41,2017-03-30 11:56:01,IP Address,,1,198.45.3.104,100,80,True,2017-03-30 11:56:02,R_1E5socMtURKIV6j,,,,,35.084503173828,-106.65110015869,anonymous,10,Family,"Appetizer,Main course","Water,Non-alcoholic beverages",20,,,,,Bottled water,"Roasted pork loin with sweet potato purée, snap peas, and hazelnut-sage sauce: $26",Somewhat reasonable,,,,,26,0,51
2017-03-30 11:54:29,2017-03-30 11:56:08,IP Address,X,2,104.174.223.0,100,99,True,2017-03-30 11:56:09,R_5jyCXlcdv9DbonD,,,,,34.078994750977,-117.84939575195,anonymous,1,I eat alone,Main course,Water,15,,,,,Bottled water,"Roasted pork loin with sweet potato purée, snap peas, and hazelnut-sage sauce: $26",Somewhat unreasonable,,,,,26,0,96
2017-03-30 11:54:33,2017-03-30 11:56:14,IP Address,,1,109.177.166.138,100,100,True,2017-03-30 11:56:15,R_1loTBYLZBvMu0FL,,,,,25.357299804688,55.403305053711,anonymous,30,"Friends,Spouse / significant other,Family",Main course,"Water,Beer or cider",15,,,,,One of our 20 draft craft beers,Egg and spinach fettuccine with wild mushroom ragù and Parmesan: $21,Somewhat reasonable,,,,,30,0,23
2017-03-30 11:54:55,2017-03-30 11:56:27,IP Address,,1,59.99.209.16,100,92,True,2017-03-30 11:56:28,R_1F95HYdpxgdCIjO,,,,,10.992492675781,76.961395263672,anonymous,6,"Friends,Spouse / significant other,Family",Appetizer,"Non-alcoholic beverages,Beer or cider",200,Red or white wine (from the wine list),"Pizza with nettles, red onions, and ricotta: $18",10,Neither reasonable nor unreasonable,,,,,,,,0,41.32,57
2017-03-30 11:55:39,2017-03-30 11:56:34,IP Address,,1,142.112.128.228,100,55,True,2017-03-30 11:56:35,R_8IJTGl5G8lm6le9,,,,,43.665603637695,-79.383003234863,anonymous,4,Spouse / significant other,"Main course,Dessert",Water,20,,,,,Bottled water,Egg and spinach fettuccine with wild mushroom ragù and Parmesan: $21,Somewhat reasonable,,,,,21,0,32
2017-03-30 11:54:57,2017-03-30 11:56:35,IP Address,,1,157.51.38.217,100,97,True,2017-03-30 11:56:35,R_2UgOvXvaHXDnBoK,,,,,20,77,anonymous,2,"Friends,Spouse / significant other,Family",Main course,Cocktails / mixed drinks,20,One of our 20 draft craft beers,"Pizza with nettles, red onions, and ricotta: $18",0.18,Extremely reasonable,,,,,,,,0,28.26,66
2017-03-30 11:55:34,2017-03-30 11:56:44,IP Address,,1,45.26.124.21,100,70,True,2017-03-30 11:56:45,R_3hllEr6shou4yBQ,,,,,34.148300170898,-84.140403747559,anonymous,7,Spouse / significant other,Main course,Water,15,Bottled water,"Pizza with nettles, red onions, and ricotta: $18",4,Somewhat unreasonable,,,,,,,,0,23.44,33
2017-03-30 11:56:05,2017-03-30 11:57:07,IP Address,,1,173.217.96.226,100,61,True,2017-03-30 11:57:07,R_1IWZg618Pv1IHtm,,,,,30.13459777832,-93.273002624512,anonymous,2,Family,Main course,Non-alcoholic beverages,10,Bottled water,"Pizza with nettles, red onions, and ricotta: $18",1,Extremely reasonable,,,,,,,,0,20.44,38
2017-03-30 11:56:14,2017-03-30 11:57:37,IP Address,,1,103.74.16.168,100,82,True,2017-03-30 11:57:37,R_2bVuUYTHG8c7Moe,,,,,18.975006103516,72.825805664062,anonymous,10,"Friends,Family","Appetizer,Main course,Dessert","Water,Non-alcoholic beverages,Wine,Beer or cider,Cocktails / mixed drinks",150,,,,,Signature cocktail,Egg and spinach fettuccine with wild mushroom ragù and Parmesan: $21,Somewhat reasonable,,,,,35,0,76
2017-03-30 11:56:23,2017-03-30 11:57:38,IP Address,,1,108.194.200.239,100,74,True,2017-03-30 11:57:38,R_2z7uHSgc7eZVJoC,,,,,29.549606323242,-90.588798522949,anonymous,4,"Friends,Spouse / significant other,Family","Appetizer,Main course,Dessert","Water,Non-alcoholic beverages,Wine,Beer or cider,Cocktails / mixed drinks",20,,,,,One of our 20 draft craft beers,"Pizza with nettles, red onions, and ricotta: $23",Extremely unreasonable,,,,,32,0,6
2017-03-30 11:56:53,2017-03-30 11:57:40,IP Address,,1,68.57.5.46,100,47,True,2017-03-30 11:57:41,R_qw6wVulmuioXeBX,,,,,35.423904418945,-84.668098449707,anonymous,0,Family,Main course,Water,15,Bottled water,Egg and spinach fettuccine with wild mushroom ragù and Parmesan: $16,2,Somewhat reasonable,,,,,,,,0,19.28,91
2017-03-30 11:56:40,2017-03-30 11:57:43,IP Address,,1,12.145.249.130,100,62,True,2017-03-30 11:57:43,R_10SZEvoHjesAXiW,,,,,43.444107055664,-84.025497436523,anonymous,8,"Spouse / significant other,Family",Main course,"Water,Non-alcoholic beverages,Beer or cider",17,,,,,Bottled water,"Roasted pork loin with sweet potato purée, snap peas, and hazelnut-sage sauce: $26",Somewhat unreasonable,,,,,26,0,94
2017-03-30 11:55:33,2017-03-30 11:57:46,IP Address,,1,99.14.176.205,100,133,True,2017-03-30 11:57:46,R_3MuLr2lgFs0NTGV,,,,,30.057601928711,-82.602096557617,anonymous,10,Friends,"Appetizer,Main course,Dessert","Water,Non-alcoholic beverages,Wine",20,,,,,Bottled water,"Pizza with nettles, red onions, and ricotta: $23",Extremely reasonable,,,,,23,0,84
2017-03-30 11:57:26,2017-03-30 11:57:54,IP Address,,1,107.77.222.127,100,28,True,2017-03-30 11:57:55,R_1Os3sVLioXaSung,,,,,29.58219909668,-95.760803222656,anonymous,15,"Friends,Spouse / significant other,I eat alone",Main course,Cocktails / mixed drinks,25,,,,,One of our 20 draft craft beers,"Pan-fried fish and shellfish cakes with wild arugula, artichokes, and aïoli: $33",Somewhat reasonable,,,,,42,0,59
2017-03-30 11:57:19,2017-03-30 11:58:06,IP Address,,1,98.213.58.56,100,46,True,2017-03-30 11:58:06,R_3Ms9WG3kPJud4AW,,,,,41.824798583984,-89.732696533203,anonymous,1,Friends,Main course,Non-alcoholic beverages,20,,,,,Bottled water,"Pizza with nettles, red onions, and ricotta: $23",Somewhat unreasonable,,,,,23,0,23
2017-03-30 11:57:11,2017-03-30 11:58:07,IP Address,,1,98.155.26.235,100,55,True,2017-03-30 11:58:07,R_1NeUVtMATktK0Sf,,,,,21.296005249023,-157.82739257812,anonymous,4,Friends,Main course,Water,20,Bottled water,"Pizza with nettles, red onions, and ricotta: $18",4,Extremely reasonable,,,,,,,,0,23.44,59
2017-03-30 11:56:19,2017-03-30 11:58:19,IP Address,,1,169.149.129.80,100,119,True,2017-03-30 11:58:19,R_1Qnkr8RD2WIgqXG,,,,,31.325607299805,75.579193115234,anonymous,9,"Friends,I eat alone",Main course,Wine,10,One of our 5 national brand beers,Egg and spinach fettuccine with wild mushroom ragù and Parmesan: $16,2,Somewhat reasonable,,,,,,,,0,25.76,39
2017-03-30 11:57:57,2017-03-30 11:58:27,IP Address,,1,67.186.29.207,100,29,True,2017-03-30 11:58:27,R_s89HIeV3O1dokJH,,,,,40.335601806641,-79.55069732666,anonymous,14,"Friends,Family","Appetizer,Main course,Dessert",Non-alcoholic beverages,20,,,,,Bottled water,"Pizza with nettles, red onions, and ricotta: $23",Extremely reasonable,,,,,23,0,16
2017-03-30 11:57:07,2017-03-30 11:58:27,IP Address,,1,137.97.9.214,100,79,True,2017-03-30 11:58:28,R_daSn1mabkVpsQLf,,,,,9.9833068847656,76.283294677734,anonymous,16,Family,Main course,Non-alcoholic beverages,10,Bottled water,"Pizza with nettles, red onions, and ricotta: $18",2,Extremely reasonable,,,,,,,,0,21.44,72
2017-03-30 11:57:03,2017-03-30 11:58:47,IP Address,,1,68.185.146.114,100,104,True,2017-03-30 11:58:48,R_29cgWj1lZAVZwn3,,,,,32.361694335938,-86.133598327637,anonymous,8,"Spouse / significant other,Family",Main course,Water,20,,,,,Bottled water,"Roasted pork loin with sweet potato purée, snap peas, and hazelnut-sage sauce: $26",Somewhat reasonable,,,,,26,0,29
2017-03-30 11:57:42,2017-03-30 11:58:47,IP Address,,1,24.211.159.22,100,65,True,2017-03-30 11:58:48,R_1M5KRw0u2pbjVBu,,,,,35.646102905273,-78.5791015625,anonymous,4,Spouse / significant other,Main course,"Water,Non-alcoholic beverages",8,,,,,Bottled water,Egg and spinach fettuccine with wild mushroom ragù and Parmesan: $21,Somewhat reasonable,,,,,21,0,61
2017-03-30 11:57:04,2017-03-30 11:58:54,IP Address,,1,99.8.45.204,100,110,True,2017-03-30 11:58:55,R_1dzvrRkuapeyYOZ,,,,,29.832107543945,-95.734596252441,anonymous,2,Family,Main course,Non-alcoholic beverages,20,Signature cocktail,"Roasted pork loin with sweet potato purée, snap peas, and hazelnut-sage sauce: $20",7,Somewhat reasonable,,,,,,,,0,41.56,74
2017-03-30 11:57:54,2017-03-30 11:59:02,IP Address,,1,76.8.187.104,100,67,True,2017-03-30 11:59:03,R_1LA1mTCoIdfYYb3,,,,,37.487899780273,-82.495597839355,anonymous,4,Spouse / significant other,"Appetizer,Main course",Non-alcoholic beverages,10,Bottled water,"Pizza with nettles, red onions, and ricotta: $18",3,Somewhat reasonable,,,,,,,,0,22.44,93
2017-03-30 11:57:44,2017-03-30 11:59:05,IP Address,,1,23.112.114.15,100,81,True,2017-03-30 11:59:06,R_1mrDDOEBKznqLDj,,,,,28.531097412109,-80.85230255127,anonymous,10,"Spouse / significant other,Family","Appetizer,Main course,Dessert",Cocktails / mixed drinks,25,Signature cocktail,"Roasted pork loin with sweet potato purée, snap peas, and hazelnut-sage sauce: $20",8,Somewhat reasonable,,,,,,,,0,42.56,82
2017-03-30 11:57:16,2017-03-30 11:59:17,IP Address,,1,122.163.42.169,100,121,True,2017-03-30 11:59:18,R_1jODTiUSDoVPAIK,,,,,22.569702148438,88.369689941406,anonymous,10,"Friends,Colleagues,Family","Appetizer,Main course,Dessert","Water,Non-alcoholic beverages",45,Signature cocktail,"Pan-fried fish and shellfish cakes with wild arugula, artichokes, and aïoli: $25",5,Somewhat reasonable,,,,,,,,0,44.96,86
2017-03-30 11:58:01,2017-03-30 11:59:42,IP Address,,1,71.38.64.232,100,101,True,2017-03-30 11:59:43,R_1nOuY4Dupon0pop,,,,,36.151092529297,-115.110496521,anonymous,2,Family,"Appetizer,Main course,Dessert",Non-alcoholic beverages,18,One of our 5 national brand beers,"Roasted pork loin with sweet potato purée, snap peas, and hazelnut-sage sauce: $20",3,Somewhat reasonable,,,,,,,,0,31.08,22
2017-03-30 11:58:16,2017-03-30 11:59:50,IP Address,,1,76.219.152.250,100,93,True,2017-03-30 11:59:50,R_1r1vtn6E0KwT8ll,,,,,39.97380065918,-86.176498413086,anonymous,4,Family,Main course,Water,15,,,,,Bottled water,"Pan-fried fish and shellfish cakes with wild arugula, artichokes, and aïoli: $33",Somewhat unreasonable,,,,,33,0,95
2017-03-30 11:57:39,2017-03-30 11:59:58,IP Address,,1,85.255.57.102,100,138,True,2017-03-30 11:59:59,R_1riAxkf3oIypKzN,,,,,54.899993896484,23.899993896484,anonymous,4,"Friends,Spouse / significant other","Main course,Dessert",Beer or cider,25,,,,,One of our 5 national brand beers,Egg and spinach fettuccine with wild mushroom ragù and Parmesan: $21,Extremely reasonable,,,,,28,0,82
2017-03-30 11:58:59,2017-03-30 12:00:04,IP Address,,1,68.227.12.219,100,65,True,2017-03-30 12:00:04,R_3rU7OmwaUxdEfEc,,,,,36.031600952148,-115.21179962158,anonymous,12,"Friends,Family",Main course,"Water,Non-alcoholic beverages",15,Bottled water,"Pizza with nettles, red onions, and ricotta: $18",2,Somewhat reasonable,,,,,,,,0,21.44,48
2017-03-30 11:59:04,2017-03-30 12:00:38,IP Address,,1,103.66.79.25,100,94,True,2017-03-30 12:00:39,R_3G6qoYKjE9oNnsl,,,,,12.983306884766,77.583312988281,anonymous,8,"Friends,Spouse / significant other,Colleagues,Family","Appetizer,Main course,Dessert","Water,Non-alcoholic beverages",7,,,,,Bottled water,"Pizza with nettles, red onions, and ricotta: $23",Somewhat reasonable,,,,,23,0,96
2017-03-30 11:59:45,2017-03-30 12:00:53,IP Address,,1,72.198.74.135,100,68,True,2017-03-30 12:00:54,R_TkhR8G7MW9BpAo9,,,,,35.481292724609,-97.577697753906,anonymous,4,Spouse / significant other,"Appetizer,Main course,Dessert",Beer or cider,25,One of our 20 draft craft beers,"Pizza with nettles, red onions, and ricotta: $18",6,Somewhat reasonable,,,,,,,,0,34.08,84
2017-03-30 11:58:55,2017-03-30 12:00:55,IP Address,,1,108.232.39.22,100,119,True,2017-03-30 12:00:56,R_1yVa6Zg1yhDenp7,,,,,35.462295532227,-97.341903686523,anonymous,3,Family,Main course,"Water,Non-alcoholic beverages",15,Bottled water,"Roasted pork loin with sweet potato purée, snap peas, and hazelnut-sage sauce: $20",3,Somewhat reasonable,,,,,,,,0,24.6,41
